Provience,Fuel Type,Count
Alberta,C-1 Spruce-Lichen Woodland,1289253
Alberta,C-2 Boreal Spruce,132396493
Alberta,C-3 Mature Jack or Lodgepole Pine,46591625
Alberta,C-4 Immature Jack or Lodgepole Pine,42927384
Alberta,C-5 Red and White Pine,145694
Alberta,C-7 Ponderosa Pine / Douglas Fir,39225
Alberta,D-1 Leafless Aspen,100175431
Alberta,D-1/D-2 Aspen,61193330
Alberta,O-1a Matted Grass,152151781
Alberta,Non-fuel,29681812
Alberta,Water,24542609
Alberta,Vegetated Non-Fuel,27578652
Alberta,M-1 Boreal Mixedwood - Leafless (15% Conifer),2608464
Alberta,M-1/M-2 Boreal Mixedwood (25% Conifer),27903959
Alberta,M-1/M-2 Boreal Mixedwood (50% Conifer),49652020
Alberta,M-1/M-2 Boreal Mixedwood (75% Conifer),12147591
British Columbia,C-1 Spruce-Lichen Woodland,934028
British Columbia,C-2 Boreal Spruce,96308485
British Columbia,C-3 Mature Jack or Lodgepole Pine,305227308
British Columbia,C-4 Immature Jack or Lodgepole Pine,89156923
British Columbia,C-5 Red and White Pine,95573742
British Columbia,C-7 Ponderosa Pine / Douglas Fir,4264382
British Columbia,D-1 Leafless Aspen,29215608
British Columbia,D-1/D-2 Aspen,65159321
British Columbia,O-1a Matted Grass,64242100
British Columbia,Non-fuel,78201690
British Columbia,Water,49121713
British Columbia,Vegetated Non-Fuel,23442618
British Columbia,M-1 Boreal Mixedwood - Leafless (15% Conifer),29706158
British Columbia,M-1/M-2 Boreal Mixedwood (25% Conifer),25840941
British Columbia,M-1/M-2 Boreal Mixedwood (50% Conifer),11581785
British Columbia,M-1/M-2 Boreal Mixedwood (75% Conifer),51205457
Manitoba,C-1 Spruce-Lichen Woodland,6365074
Manitoba,C-2 Boreal Spruce,120404275
Manitoba,C-3 Mature Jack or Lodgepole Pine,33112929
Manitoba,C-4 Immature Jack or Lodgepole Pine,67679171
Manitoba,C-5 Red and White Pine,693
Manitoba,D-1 Leafless Aspen,36956953
Manitoba,D-1/D-2 Aspen,88202070
Manitoba,O-1a Matted Grass,122327357
Manitoba,Non-fuel,5388248
Manitoba,Water,116006024
Manitoba,Vegetated Non-Fuel,1508511
Manitoba,M-1 Boreal Mixedwood - Leafless (15% Conifer),132332
Manitoba,M-1/M-2 Boreal Mixedwood (25% Conifer),37519367
Manitoba,M-1/M-2 Boreal Mixedwood (50% Conifer),26647210
Manitoba,M-1/M-2 Boreal Mixedwood (75% Conifer),35204081
New Brunswick,C-2 Boreal Spruce,28150002
New Brunswick,C-3 Mature Jack or Lodgepole Pine,1568752
New Brunswick,C-4 Immature Jack or Lodgepole Pine,3448455
New Brunswick,C-5 Red and White Pine,33217
New Brunswick,D-1 Leafless Aspen,15563797
New Brunswick,D-1/D-2 Aspen,1255409
New Brunswick,O-1a Matted Grass,4199480
New Brunswick,Non-fuel,2453074
New Brunswick,Water,1585958
New Brunswick,Vegetated Non-Fuel,26034
New Brunswick,M-1 Boreal Mixedwood - Leafless (15% Conifer),150391
New Brunswick,M-1/M-2 Boreal Mixedwood (25% Conifer),6066565
New Brunswick,M-1/M-2 Boreal Mixedwood (50% Conifer),10821829
New Brunswick,M-1/M-2 Boreal Mixedwood (75% Conifer),7106687
NewFoundLand and Labrador,C-1 Spruce-Lichen Woodland,1018686
NewFoundLand and Labrador,C-2 Boreal Spruce,167305357
NewFoundLand and Labrador,C-3 Mature Jack or Lodgepole Pine,34459
NewFoundLand and Labrador,C-4 Immature Jack or Lodgepole Pine,2307387
NewFoundLand and Labrador,D-1 Leafless Aspen,655133
NewFoundLand and Labrador,D-1/D-2 Aspen,61011799
NewFoundLand and Labrador,O-1a Matted Grass,75926247
NewFoundLand and Labrador,Non-fuel,9711809
NewFoundLand and Labrador,Water,47504667
NewFoundLand and Labrador,Vegetated Non-Fuel,203905
NewFoundLand and Labrador,M-1 Boreal Mixedwood - Leafless (15% Conifer),79378
NewFoundLand and Labrador,M-1/M-2 Boreal Mixedwood (25% Conifer),24453488
NewFoundLand and Labrador,M-1/M-2 Boreal Mixedwood (50% Conifer),5120369
