year,provience,C-1 Spruce-Lichen Woodland,C-2 Boreal Spruce,C-3 Mature Jack or Lodgepole Pine,C-4 Immature Jack or Lodgepole Pine,C-5 Red and White Pine,C-7 Ponderosa Pine / Douglas Fir,D-1 Leafless Aspen,D-1/D-2 Aspen,O-1a Matted Grass,Non-fuel,Water,Vegetated Non-Fuel,M-1 Boreal Mixedwood - Leafless (15% Conifer),M-1/M-2 Boreal Mixedwood (25% Conifer),M-1/M-2 Boreal Mixedwood (50% Conifer),M-1/M-2 Boreal Mixedwood (75% Conifer)
2005,Quebec,4269,550576,26629,582399,0,0,103953,4383163,228278,30486,223829,192836,1321289,1086512,97836,426692
2005,Ontario,6764,73318,9347,140847,3,0,21904,145824,18917,5359,3524,71,1246,36248,33225,32059
2005,Northwest Territories,909,69580,3958,90934,0,0,128892,898309,192408,12811,8955,60188,3626,229673,79509,80272
2005,British Columbia,11980,21318,14521,50035,2101,64,4108,48750,9893,398,274,57406,1744,37853,4191,9648
2005,Saskatchewan,0,128824,33116,1110402,0,0,108493,227506,81289,870,30824,86699,943,83549,62658,60825
2005,Newfoundland and Labrador,22,41019,2,702,0,0,13,123449,15792,2803,3139,0,77,30018,727,3756
2005,Manitoba,1535,26014,1794,123816,0,0,9657,330400,81930,376,10449,9618,0,31200,20691,40502
2005,Parks Canada,2782,38077,22974,86993,433,0,22114,50437,40542,4391,5541,30219,1620,14704,30140,13255
2005,Yukon Territory,39,349165,22775,17589,0,0,92823,803498,115438,22175,1644,93,10207,232767,34084,44496
2005,Alberta,13017,33749,13582,151479,0,0,11346,50428,11858,2699,14095,5096,105,186701,70795,29766
2005,New Brunswick,0,1223,39,175,2,0,533,343,514,231,78,0,2,240,583,305
2005,Nova Scotia,0,2,0,5,0,0,8,65,4,0,0,0,0,8,1,6
2006,Northwest Territories,488,27284,565,11873,0,0,46788,193939,37552,1866,2278,3212,510,102849,19357,6200
2006,Saskatchewan,447,533838,204657,4214647,0,0,214942,4125617,595516,36138,209774,55320,7041,504198,178433,255571
2006,Manitoba,2529,65886,10193,405401,0,0,20380,683944,56338,614,11662,61,0,88603,29616,86479
2006,Quebec,67,81877,4985,119754,0,0,8766,760990,16938,4061,38420,21167,146498,199037,29835,88856
2006,Alberta,6987,121573,127048,683624,42,0,45113,150929,19063,23945,19840,59354,32548,182459,80542,115086
2006,British Columbia,84,20671,321900,401404,10826,1225,13438,57777,66374,9473,660,50493,118379,90707,25522,47345
2006,Yukon Territory,25,57148,111292,160151,0,0,88320,325343,28204,37371,1462,31,15465,82356,6972,30798
2006,Parks Canada,155,15121,16545,32686,78,96,21291,57610,23767,4693,7263,25677,11350,10550,14875,10358
2006,Ontario,2307,171293,25908,582117,30,0,83403,138226,35291,17034,15977,21508,339,82135,118593,69899
2006,Nunavut,0,1333,0,56,0,0,0,2436,68,0,6,0,0,50,0,4
2006,Newfoundland and Labrador,0,4460,0,0,0,0,9,11165,3372,147,419,0,0,5399,1400,259
2006,Nova Scotia,0,7,8,21,0,0,5,49,122,8,7,0,0,1,7,7
2007,Manitoba,1428,236845,16204,1099482,0,0,40334,1104651,184932,4900,34008,394,25,173316,80213,131599
2007,Saskatchewan,234,59337,21201,733298,0,0,13802,631388,46179,380,53081,98263,5750,67859,14631,34051
2007,Northwest Territories,11751,108307,2108,346509,0,0,544690,1153496,116201,3148,34332,57050,3475,646537,131708,53185
2007,Quebec,193,277465,24594,279736,0,0,193721,2174245,51520,52618,68949,12275,655214,480075,66013,171364
